Date,Connections to IP '7'
2006-07-01,411
2006-07-02,68
2006-07-03,474
2006-07-04,200
2006-07-05,208
2006-07-06,489
2006-07-07,255
2006-07-08,729
2006-07-09,346
2006-07-10,164
2006-07-11,219
2006-07-12,163
2006-07-13,424
2006-07-14,865
2006-07-15,1116
2006-07-16,1005
2006-07-17,722
2006-07-18,449
2006-07-19,309
2006-07-20,544
2006-07-21,64
2006-07-22,55
2006-07-23,66
2006-07-24,65
2006-07-25,192
2006-07-26,918
2006-07-27,794
2006-07-28,629
2006-07-29,75
2006-07-30,118
2006-07-31,236
2006-08-01,339
2006-08-02,1022
2006-08-03,613
2006-08-04,325
2006-08-05,65
2006-08-06,66
2006-08-07,126
2006-08-08,141
2006-08-09,113
2006-08-10,209
2006-08-11,123
2006-08-12,77
2006-08-13,236
2006-08-14,436
2006-08-15,158
2006-08-16,408
2006-08-17,138
2006-08-18,354
2006-08-19,341
2006-08-20,290
2006-08-21,230
2006-08-22,550
2006-08-23,536
2006-08-24,129
2006-08-25,379
2006-08-26,285
2006-08-27,309
2006-08-28,475
2006-08-29,348
2006-08-30,627
2006-08-31,595
2006-09-01,569
2006-09-02,341
2006-09-03,226
2006-09-04,292
2006-09-05,463
2006-09-06,290
2006-09-07,481
2006-09-08,233
2006-09-09,96
2006-09-10,466
2006-09-11,433
2006-09-12,388
2006-09-13,780
2006-09-14,520
2006-09-15,1293
2006-09-16,519
2006-09-17,76
2006-09-18,415
2006-09-19,380
2006-09-20,447
2006-09-21,812
2006-09-22,119
2006-09-23,365
2006-09-24,208
2006-09-25,259
2006-09-26,991
2006-09-27,597
2006-09-28,270
2006-09-29,512
2006-09-30,106
